climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,125,586823173.28
1,1,Solar-energy,Mitigation,11,46405541.66
1,2,Bioenergy,Mitigation,1,7000000.0
1,3,Other-mitigation-projects,Mitigation,21,76294359.17
1,4,Biodiversity,Environment,1,3556318.57
1,6,Nature_conservation,Environment,3,1944574.64
1,7,Other-environment-projects,Environment,14,73431069.23
1,8,Sustainable-land-use,Environment,44,126528707.85
1,10,Renewables-multiple,Mitigation,2,7036017.76
1,11,Hydro-energy,Mitigation,1,3016593.19
1,12,Energy-efficiency,Mitigation,6,18110683.21
