climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,98,431731415.21
1,1,Solar-energy,Mitigation,41,129459346.8
1,2,Bioenergy,Mitigation,3,7912490.279999999
1,3,Other-mitigation-projects,Mitigation,18,77075865.98
1,4,Biodiversity,Environment,5,11357177.120000001
1,6,Nature_conservation,Environment,7,23805027.3
1,7,Other-environment-projects,Environment,19,97783683.12
1,8,Sustainable-land-use,Environment,46,189484638.75
1,11,Hydro-energy,Mitigation,6,32772048.909999996
1,12,Energy-efficiency,Mitigation,11,63872174.19
