climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,261,1058996680.09
1,1,Solar-energy,Mitigation,39,123671282.91
1,2,Bioenergy,Mitigation,8,39252805.87
1,3,Other-mitigation-projects,Mitigation,35,130735277.78
1,4,Biodiversity,Environment,3,10867985.61
1,6,Nature_conservation,Environment,25,105156745.77
1,7,Other-environment-projects,Environment,29,100218080.58
1,8,Sustainable-land-use,Environment,103,393588371.57
1,10,Renewables-multiple,Mitigation,1,6332051.47
1,11,Hydro-energy,Mitigation,2,12928347.28
1,12,Energy-efficiency,Mitigation,13,52403807.4
