climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,167,682122398.78
1,1,Solar-energy,Mitigation,21,73883431.17999999
1,2,Bioenergy,Mitigation,1,2232775.18
1,3,Other-mitigation-projects,Mitigation,30,106769561.7
1,4,Biodiversity,Environment,3,10475933.79
1,6,Nature_conservation,Environment,8,26163434.18
1,7,Other-environment-projects,Environment,23,69443146.13
1,8,Sustainable-land-use,Environment,73,267369311.3
1,10,Renewables-multiple,Mitigation,6,48123527.629999995
1,11,Hydro-energy,Mitigation,1,3016593.19
1,12,Energy-efficiency,Mitigation,14,54149822.09
