climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,298,1111244766.59
1,1,Solar-energy,Mitigation,19,68198313.99
1,2,Bioenergy,Mitigation,6,32040268.060000002
1,3,Other-mitigation-projects,Mitigation,38,149906107.64
1,4,Biodiversity,Environment,3,27369855.64
1,6,Nature_conservation,Environment,21,66129002.85
1,7,Other-environment-projects,Environment,15,58943963.47
1,8,Sustainable-land-use,Environment,90,391088378.13
1,10,Renewables-multiple,Mitigation,3,24332051.47
1,11,Hydro-energy,Mitigation,7,36955970.769999996
1,12,Energy-efficiency,Mitigation,22,80236028.48
