climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,148,545404798.18
1,1,Solar-energy,Mitigation,1,1228000.0
1,2,Bioenergy,Mitigation,2,4454278.16
1,3,Other-mitigation-projects,Mitigation,22,87377697.82
1,4,Biodiversity,Environment,8,23134810.39
1,6,Nature_conservation,Environment,57,209685071.89
1,7,Other-environment-projects,Environment,14,36535658.67
1,8,Sustainable-land-use,Environment,44,210224646.48
1,10,Renewables-multiple,Mitigation,5,24211845.48
1,11,Hydro-energy,Mitigation,4,17195454.490000002
1,12,Energy-efficiency,Mitigation,26,120645681.63
