effective_year,adaptation_funding,mitigation_funding,environment_funding
2010,2602284.82,0.0,0.0
2011,32236466.7,30165687.619999997,2232775.18
2012,12853243.5,29221405.47,17574133.82
2013,79223682.88,45110921.79,41513011.67
2014,95130308.15,19234237.92,48977765.89
2015,47125811.89,18271614.15,29248311.36
2016,20829498.619999997,34877876.11,14626668.209999999
2017,32346568.5,28832144.71,48015596.36
2018,15590477.780000001,14886600.48,61656971.03
2019,28532548.37,16805465.42,35557337.72
2020,10401342.41,28904798.94,1712600.0
2021,26135531.09,30410555.770000003,16824572.78
2022,21378650.5,11746617.78,1920582.27
2023,2345000.0,2500000.0,2570200.0
2024,5000000.0,124000.0,0.0
