effective_year,adaptation_funding,mitigation_funding,environment_funding
2009,70925518.0,22011324.2,52381642.54
2010,2602284.82,11720662.059999999,7005243.550000001
2011,86394265.72,14366601.45,68011504.78
2012,45876920.730000004,77614760.64,44677836.2
2013,165536522.36,52575056.019999996,98277758.31
2014,109236390.69,47109029.21,110328857.81
2015,74320375.65,29457933.47,34931836.14
2016,60554316.449999996,9449546.030000001,6173784.41
2017,72070614.05,12185178.78,32711972.48
2018,72473201.19,28820800.740000002,61536940.87
2019,76736265.21,14052587.77,12079148.25
2020,52196700.92,19473560.72,29972899.99
2021,56085576.46,17482051.47,35413321.0
2022,34183394.41,6892980.15,12785330.77
2023,75979080.71000001,1987500.0,3543106.43
2024,3825252.7199999997,124000.0,0.0
