effective_year,adaptation_funding,mitigation_funding,environment_funding
2010,2602284.82,0.0,7658304.59
2011,73314492.85,2232775.18,0.0
2012,31306419.96,40870848.879999995,27557094.12
2013,110783917.75,30631361.15,55599591.3
2014,118912343.26,65511567.56,55456741.58
2015,88748324.08,20033126.849999998,42118690.07
2016,25819268.65,4296243.87,7898966.9399999995
2017,35044266.79,15398540.11,43753212.58
2018,40446107.68,28055440.990000002,60395510.46
2019,33599500.419999994,27265407.14,24249662.89
2020,24335685.59,14611847.04,16281848.15
2021,58006988.05,31324263.6,25837278.85
2022,21998093.060000002,5808405.52,2934473.87
2023,11129453.1,2011883.08,2910450.0
2024,6075252.72,124000.0,800000.0
